source_file,dataset,model,model_seed,reference_label,candidate_label,reference_layer,candidate_layer,cka
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,exact,3,5,0.8548885128538009
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,exact,4,0,0.7955283307676756
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,exact,4,1,0.8096412005820808
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,exact,4,3,0.9299124628038886
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,exact,4,4,1.0
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,exact,4,5,0.9723526009974672
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,exact,5,0,0.7451088045374312
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,exact,5,1,0.7328496218103843
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,exact,5,3,0.8548885128538009
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,exact,5,4,0.9723526009974668
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,exact,5,5,1.0
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,fixedpred,0,0,0.9935431355471936
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,fixedpred,0,1,0.9134245512646828
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,fixedpred,0,3,0.8776516405875684
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,fixedpred,0,4,0.8058988203331445
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,fixedpred,0,5,0.7517321967250068
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,fixedpred,1,0,0.9144557254935838
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,fixedpred,1,1,0.9947585173805626
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,fixedpred,1,3,0.9263864421216508
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,fixedpred,1,4,0.8111015187037246
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,fixedpred,1,5,0.733629494887926
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,fixedpred,3,0,0.8460003382968924
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,fixedpred,3,1,0.9090781456113832
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,fixedpred,3,3,0.987788474417764
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,fixedpred,3,4,0.9254578296578824
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,fixedpred,3,5,0.8506335250858259
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,fixedpred,4,0,0.768145091625101
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,fixedpred,4,1,0.7821490706387801
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,fixedpred,4,3,0.9255347661023642
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,fixedpred,4,4,0.9933097831689868
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,fixedpred,4,5,0.9644203077307826
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,fixedpred,5,0,0.7078194564338247
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,fixedpred,5,1,0.7011437047167145
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,fixedpred,5,3,0.8530593013259955
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,fixedpred,5,4,0.9696377108586604
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,fixedpred,5,5,0.9942116390370352
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,strict,0,0,0.98584415552577
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,strict,0,1,0.918710429224004
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,strict,0,3,0.9071001529941746
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,strict,0,4,0.8218666114364342
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,strict,0,5,0.7539574184361577
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,strict,1,0,0.9130483148961144
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,strict,1,1,0.9730451023013572
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,strict,1,3,0.9305614063165646
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,strict,1,4,0.819432742698539
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,strict,1,5,0.7246465182188914
