cell_id,block_id,candidate_id,method,depth,width,batch_size,model_seed,repetition,primary_host_time_median_us,primary_device_time_median_us,primary_peak_allocated_max_bytes,primary_peak_reserved_max_bytes,observer_cost_median_ms,saved_tensor_bytes_median,state_vjp_calls_median,graph_span_max,dependency_radius_max,graph_lifetimes,feedback_operator,fallback_validation_cost_ms,fallback_validation_status
s3b-cell-3b87983ff4ca0427a063,s3b-block-248d76724a8cf4455766,isolated_layer_vjp,fixedpred,4,64,256,70,2,14937.061,14938.051223754883,462867456,488636416,23.145041942596436,16770564.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-3b87983ff4ca0427a063,s3b-block-248d76724a8cf4455766,isolated_layer_vjp,fixedpred,4,64,256,70,3,15044.780999999999,15045.5641746521,565728256,593494016,23.236355781555176,16770564.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-3b87983ff4ca0427a063,s3b-block-248d76724a8cf4455766,isolated_layer_vjp,fixedpred,4,64,256,70,4,15645.649,15646.745204925537,668589056,696254464,23.52628755569458,16770564.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-5b5993ca3e6856de5edd,s3b-block-2ba7a97fcdd9242b2b3b,stage2_baseline,fixedpred,4,64,256,71,0,9513.350999999999,9514.603614807129,257958912,283115520,21.243852138519287,3881988.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-5b5993ca3e6856de5edd,s3b-block-2ba7a97fcdd9242b2b3b,stage2_baseline,fixedpred,4,64,256,71,1,9316.177,9317.410945892334,360819712,385875968,21.515368938446045,3881988.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-5b5993ca3e6856de5edd,s3b-block-2ba7a97fcdd9242b2b3b,stage2_baseline,fixedpred,4,64,256,71,2,9304.28,9305.081367492676,463680512,488636416,21.423795700073242,3881988.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-5b5993ca3e6856de5edd,s3b-block-2ba7a97fcdd9242b2b3b,stage2_baseline,fixedpred,4,64,256,71,3,9358.228,9359.071731567383,566541312,593494016,21.721768379211426,3881988.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-5b5993ca3e6856de5edd,s3b-block-2ba7a97fcdd9242b2b3b,stage2_baseline,fixedpred,4,64,256,71,4,9501.085,9502.30884552002,669402112,696254464,21.463923454284668,3881988.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-8dff9904d4572a4cafca,s3b-block-2ba7a97fcdd9242b2b3b,composite_vjp,fixedpred,4,64,256,71,0,11799.5955,11800.511360168457,259220480,287309824,8.183061599731445,16770564.0,10.0,4,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-8dff9904d4572a4cafca,s3b-block-2ba7a97fcdd9242b2b3b,composite_vjp,fixedpred,4,64,256,71,1,11524.7675,11526.262283325195,362081280,390070272,8.572389125823975,16770564.0,10.0,4,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-8dff9904d4572a4cafca,s3b-block-2ba7a97fcdd9242b2b3b,composite_vjp,fixedpred,4,64,256,71,2,11500.6725,11501.88684463501,466978304,494927872,8.509857177734375,16770564.0,10.0,4,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-8dff9904d4572a4cafca,s3b-block-2ba7a97fcdd9242b2b3b,composite_vjp,fixedpred,4,64,256,71,3,11484.026,11485.242366790771,569839104,597688320,8.624659061431885,16770564.0,10.0,4,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-8dff9904d4572a4cafca,s3b-block-2ba7a97fcdd9242b2b3b,composite_vjp,fixedpred,4,64,256,71,4,11546.5655,11547.967910766602,672699904,702545920,8.623313903808594,16770564.0,10.0,4,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-03a47bb213ee0425cf4a,s3b-block-2ba7a97fcdd9242b2b3b,isolated_layer_vjp,fixedpred,4,64,256,71,0,15108.263500000001,15109.198093414307,257145856,283115520,23.08113145828247,16770564.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-03a47bb213ee0425cf4a,s3b-block-2ba7a97fcdd9242b2b3b,isolated_layer_vjp,fixedpred,4,64,256,71,1,15063.093,15064.241886138916,360006656,385875968,22.761988162994385,16770564.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-03a47bb213ee0425cf4a,s3b-block-2ba7a97fcdd9242b2b3b,isolated_layer_vjp,fixedpred,4,64,256,71,2,15184.861,15186.668872833252,462867456,488636416,23.35664701461792,16770564.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-03a47bb213ee0425cf4a,s3b-block-2ba7a97fcdd9242b2b3b,isolated_layer_vjp,fixedpred,4,64,256,71,3,14835.466499999999,14836.568355560303,565728256,593494016,22.99816656112671,16770564.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-03a47bb213ee0425cf4a,s3b-block-2ba7a97fcdd9242b2b3b,isolated_layer_vjp,fixedpred,4,64,256,71,4,16658.1935,16661.039352416992,668589056,696254464,23.362346649169922,16770564.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-00bdb34bd7ffd5afc89d,s3b-block-03dd886dc9d22a85f182,stage2_baseline,fixedpred,4,64,256,72,0,9431.055,9432.001113891602,257958912,283115520,21.222410202026367,3881988.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-00bdb34bd7ffd5afc89d,s3b-block-03dd886dc9d22a85f182,stage2_baseline,fixedpred,4,64,256,72,1,9495.904,9496.801853179932,360819712,385875968,21.771048545837402,3881988.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-00bdb34bd7ffd5afc89d,s3b-block-03dd886dc9d22a85f182,stage2_baseline,fixedpred,4,64,256,72,2,9540.262999999999,9540.788173675537,463680512,488636416,21.823400497436523,3881988.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-00bdb34bd7ffd5afc89d,s3b-block-03dd886dc9d22a85f182,stage2_baseline,fixedpred,4,64,256,72,3,9442.713,9443.360805511475,566541312,593494016,22.0341854095459,3881988.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-00bdb34bd7ffd5afc89d,s3b-block-03dd886dc9d22a85f182,stage2_baseline,fixedpred,4,64,256,72,4,9395.1475,9396.100521087646,669402112,696254464,21.90934658050537,3881988.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-8a0313b11012b1cc7e47,s3b-block-03dd886dc9d22a85f182,isolated_layer_vjp,fixedpred,4,64,256,72,0,15014.085,15014.424800872803,257145856,283115520,23.060876846313477,16770564.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-8a0313b11012b1cc7e47,s3b-block-03dd886dc9d22a85f182,isolated_layer_vjp,fixedpred,4,64,256,72,1,15083.1365,15084.950923919678,360006656,385875968,22.890645027160645,16770564.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-8a0313b11012b1cc7e47,s3b-block-03dd886dc9d22a85f182,isolated_layer_vjp,fixedpred,4,64,256,72,2,14885.440999999999,14887.712478637695,462867456,488636416,23.348206520080566,16770564.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-8a0313b11012b1cc7e47,s3b-block-03dd886dc9d22a85f182,isolated_layer_vjp,fixedpred,4,64,256,72,3,14963.821,14964.93911743164,565728256,593494016,23.148558139801025,16770564.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-8a0313b11012b1cc7e47,s3b-block-03dd886dc9d22a85f182,isolated_layer_vjp,fixedpred,4,64,256,72,4,15070.123,15071.11120223999,668589056,696254464,22.855475902557373,16770564.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
