cell_id,method,depth,width,batch_size,model_seed,region,record_count,host_time_mean_us,host_time_median_us,host_time_p95_us,device_time_mean_us,device_time_median_us,device_time_p95_us,peak_allocated_max_bytes,peak_reserved_max_bytes,vjp_calls_total,synchronization_points_total,saved_tensor_bytes_mean,saved_tensor_bytes_max,actual_inference_steps_total,actual_inference_steps_max,non_finite_events_total
s3b-cell-504ef094b8da74bc104a,fixedpred,4,256,256,70,local_state_vjp,250,9683.545380000001,9712.912499999999,10516.056,8769.271954201162,8789.039000868797,9556.469976902008,1657725440,1866465280,10000,20000,0.0,0,0,0,0
s3b-cell-504ef094b8da74bc104a,fixedpred,4,256,256,70,optimizer_step,250,191.58984,190.268,206.955,169.32134824991226,167.55400598049164,184.03400480747223,1648371712,1866465280,0,500,0.0,0,0,0,0
s3b-cell-504ef094b8da74bc104a,fixedpred,4,256,256,70,parameter_vjp,250,1413.40562,1399.2604999999999,1502.468,1366.369565486908,1353.837013244629,1452.9850482940674,1648885248,1866465280,1000,500,2375680.0,2375680,0,0,0
s3b-cell-504ef094b8da74bc104a,fixedpred,4,256,256,70,state_inference,250,26748.304588,26711.874,27806.433,26700.61547088623,26676.342010498047,27782.320022583008,1651038720,1866465280,10000,500,3713024.0,3713024,2500,10,0
s3b-cell-295b9cf4775fa0b22341,strict,4,256,256,70,initial_forward,250,804.13978,796.319,867.194,762.0170097351074,755.0579905509949,820.4190135002136,3558449152,3839885312,250,500,2932740.0,2932740,0,0,0
s3b-cell-295b9cf4775fa0b22341,strict,4,256,256,70,local_state_vjp,250,14113.047971999998,14015.2905,14955.87,12698.363847017288,12599.162004888058,13518.565967679024,3562722816,3841982464,15000,30000,0.0,0,0,0,0
s3b-cell-295b9cf4775fa0b22341,strict,4,256,256,70,optimizer_step,250,194.215144,190.10750000000002,216.303,173.4663514494896,169.75899785757065,193.72500479221344,3560969216,3841982464,0,500,0.0,0,0,0,0
s3b-cell-295b9cf4775fa0b22341,strict,4,256,256,70,parameter_vjp,250,1412.03898,1388.4745,1571.068,1361.486828804016,1346.7020392417908,1506.4460039138794,3561482752,3841982464,1000,500,2375680.0,2375680,0,0,0
s3b-cell-295b9cf4775fa0b22341,strict,4,256,256,70,state_inference,250,57291.113392,56642.387,60870.289,57215.52485656738,56569.894790649414,60844.16961669922,3561464320,3841982464,20000,500,37355600.0,37355600,5000,20,0
s3b-cell-a56d936109a0df17edd1,fixedpred,4,256,256,71,initial_forward,250,805.430316,791.0699999999999,881.803,762.999721288681,749.0879893302917,838.0399942398071,1652113408,1858076672,250,500,2932740.0,2932740,0,0,0
