cell_id,method,depth,width,batch_size,model_seed,region,host_time_median_us,device_time_median_us,host_time_share_of_region_sum,device_time_share_of_region_sum,host_time_to_composite_ratio,device_time_to_composite_ratio,peak_allocated_max_bytes,peak_reserved_max_bytes,vjp_calls_total,synchronization_points_total,saved_tensor_bytes_mean,saved_tensor_bytes_max,actual_inference_steps_total,non_finite_events_total
s3b-cell-504ef094b8da74bc104a,fixedpred,4,256,256,70,parameter_vjp,1399.2605,1353.83701324,0.0360583500513,0.0358772551379,0.0453928353434,0.0438273554131,1648885248,1866465280,1000,500,2375680,2375680,0,0
s3b-cell-504ef094b8da74bc104a,fixedpred,4,256,256,70,state_inference,26711.874,26676.3420105,0.688353671971,0.706934379171,0.866548936524,0.863585136893,1651038720,1866465280,10000,500,3713024,3713024,2500,0
s3b-cell-a56d936109a0df17edd1,fixedpred,4,256,256,71,initial_forward,791.07,749.08798933,0.0201566861488,0.0196192016492,0.0254698272279,0.0240640919211,1652113408,1858076672,250,500,2932740,2932740,0,0
s3b-cell-a56d936109a0df17edd1,fixedpred,4,256,256,71,local_state_vjp,9831.228,8902.84202993,0.250502455223,0.233172411684,0.316532896708,0.285999524781,1657725440,1866465280,10000,20000,0,0,0,0
s3b-cell-a56d936109a0df17edd1,fixedpred,4,256,256,71,optimizer_step,189.752,167.579002678,0.00483493434222,0.004389025445,0.0061093843227,0.00538339498422,1648371712,1866465280,0,500,0,0,0,0
s3b-cell-a56d936109a0df17edd1,fixedpred,4,256,256,71,parameter_vjp,1395.0815,1352.91701555,0.0355470690931,0.0354339571863,0.0449169918894,0.0434618094104,1648885248,1866465280,1000,500,2375680,2375680,0,0
s3b-cell-a56d936109a0df17edd1,fixedpred,4,256,256,71,state_inference,27038.903,27008.9435577,0.688958855193,0.707385404035,0.870562893098,0.86764934123,1651038720,1866465280,10000,500,3713024,3713024,2500,0
s3b-cell-5a67e39fe839340be72c,fixedpred,4,256,256,72,initial_forward,791.3245,748.967021704,0.0201907199787,0.019616457902,0.0254664241322,0.0240681612725,1652113408,1858076672,250,500,2932740,2932740,0,0
s3b-cell-5a67e39fe839340be72c,fixedpred,4,256,256,72,local_state_vjp,9870.704,8989.49802667,0.251851952589,0.235447095119,0.31765923404,0.288878791716,1657725440,1866465280,10000,20000,0,0,0,0
s3b-cell-5a67e39fe839340be72c,fixedpred,4,256,256,72,optimizer_step,188.7,167.588502169,0.00481469847071,0.00438936922773,0.00607274794821,0.00538548024243,1648371712,1866465280,0,500,0,0,0,0
s3b-cell-5a67e39fe839340be72c,fixedpred,4,256,256,72,parameter_vjp,1399.6755,1356.64600134,0.0357128536796,0.0355323911494,0.0450443906772,0.0435960113112,1648885248,1866465280,1000,500,2375680,2375680,0,0
s3b-cell-5a67e39fe839340be72c,fixedpred,4,256,256,72,state_inference,26942.0815,26917.8438187,0.687429775282,0.705014686602,0.867050716215,0.865008721829,1651038720,1866465280,10000,500,3713024,3713024,2500,0
