candidate_id,method,depth,width,batch_size,model_seed_count,device_improvement_seed_count,device_nonregression_seed_count,median_device_time_ratio_to_baseline,minimum_device_time_ratio_to_baseline,maximum_device_time_ratio_to_baseline,median_host_time_ratio_to_baseline,minimum_host_time_ratio_to_baseline,maximum_host_time_ratio_to_baseline,median_peak_allocated_ratio_to_baseline,minimum_peak_allocated_ratio_to_baseline,maximum_peak_allocated_ratio_to_baseline,median_peak_reserved_ratio_to_baseline,minimum_peak_reserved_ratio_to_baseline,maximum_peak_reserved_ratio_to_baseline,median_saved_tensor_bytes_ratio_to_baseline,minimum_saved_tensor_bytes_ratio_to_baseline,maximum_saved_tensor_bytes_ratio_to_baseline,median_state_vjp_calls_ratio_to_baseline,minimum_state_vjp_calls_ratio_to_baseline,maximum_state_vjp_calls_ratio_to_baseline,median_graph_span_ratio_to_baseline,minimum_graph_span_ratio_to_baseline,maximum_graph_span_ratio_to_baseline,median_dependency_radius_ratio_to_baseline,minimum_dependency_radius_ratio_to_baseline,maximum_dependency_radius_ratio_to_baseline,median_device_time_reduction,minimum_device_time_reduction,maximum_device_time_reduction,maximum_seed_device_time_ratio,method_device_reduction_threshold,timing_threshold_passed,seed_regression_limit_passed,allocated_memory_limit_passed,reserved_memory_limit_passed,pareto_admissible,configuration_qualified
composite_vjp,strict,32,256,64,3,3,3,0.9188866290949271,0.8978386367584388,0.9260611366301692,0.9188731251198572,0.89782509208354,0.9262041609344528,0.9357400934080713,0.9357400934080713,0.9357400934080713,0.9394773039889959,0.9394773039889959,0.9394773039889959,1.0059674151225053,1.0059674151225053,1.0059674151225053,0.03225806451612903,0.03225806451612903,0.03225806451612903,31.0,31.0,31.0,1.0,1.0,1.0,0.08111337090507287,0.0739388633698308,0.10216136324156122,0.9260611366301692,0.2,False,True,True,True,True,False
composite_vjp,strict,32,256,256,3,3,3,0.9289918519883806,0.9123456929608428,0.9337666729980735,0.9290013079764402,0.9123310778019375,0.9337709492040539,0.8324616818617078,0.8324616818617078,0.8324616818617078,0.8341146772448612,0.8339343671114317,0.8341146772448612,1.010481022136688,1.010481022136688,1.010481022136688,0.03225806451612903,0.03225806451612903,0.03225806451612903,31.0,31.0,31.0,1.0,1.0,1.0,0.07100814801161937,0.06623332700192652,0.08765430703915722,0.9337666729980735,0.2,False,True,True,True,True,False
isolated_layer_vjp,fixedpred,4,64,64,3,0,0,1.5618118096878553,1.5539045343934752,1.5770358983702302,1.5618017069466716,1.5540000622825796,1.577119728557551,0.999492905142606,0.999492905142606,0.999492905142606,1.0,1.0,1.0,5.101599632033526,5.101599632033526,5.101599632033526,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5618118096878553,-0.5770358983702302,-0.5539045343934752,1.5770358983702302,0.15,False,False,True,True,True,False
isolated_layer_vjp,fixedpred,4,64,256,3,0,0,1.5899450534718382,1.5452152255457932,1.6143906710803613,1.5900181441498857,1.5452839442416844,1.6144363548312781,0.9987853997090467,0.9987853997090467,0.9987853997090467,1.0,1.0,1.0,4.320096816373466,4.320096816373466,4.320096816373466,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5899450534718382,-0.6143906710803613,-0.5452152255457932,1.6143906710803613,0.15,False,False,True,True,True,False
isolated_layer_vjp,fixedpred,4,256,64,3,0,0,1.5820647888299053,1.5755482373791807,1.615199971804819,1.5821098737233867,1.5748660869389228,1.6158677634960028,1.0,1.0,1.0,1.0,1.0,1.0,5.74995982803118,5.74995982803118,5.74995982803118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5820647888299053,-0.6151999718048189,-0.5755482373791807,1.615199971804819,0.15,False,False,True,True,False,False
isolated_layer_vjp,fixedpred,4,256,256,3,0,0,1.5811574832831787,1.5772887874874684,1.5859386979983388,1.5813791448838486,1.5778637038171848,1.5862585113386416,0.9995058725860725,0.9995058725860725,0.9995058725860725,1.0033898305084745,1.0033898305084745,1.0045197740112994,4.70419813058752,4.70419813058752,4.70419813058752,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5811574832831787,-0.5859386979983388,-0.5772887874874684,1.5859386979983388,0.15,False,False,True,True,True,False
isolated_layer_vjp,fixedpred,8,64,64,3,0,0,1.5987754246336305,1.5940601792849745,1.6413146036538493,1.598770921081449,1.5940973285334281,1.6414236286456554,0.9995682299931156,0.9995682299931156,0.9995682299931156,1.0,1.0,1.0,4.877289631798237,4.877289631798237,4.877289631798237,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5987754246336305,-0.6413146036538493,-0.5940601792849745,1.6413146036538493,0.15,False,False,True,True,True,False
isolated_layer_vjp,fixedpred,8,64,256,3,0,0,1.632331145424852,1.6194198610472224,1.6360781343882886,1.632352104833701,1.6194636089052836,1.6361230754467067,0.9989927596672555,0.9989927596672555,0.9989927596672555,1.0025062656641603,1.0025062656641603,1.0025062656641603,4.25765119611366,4.25765119611366,4.25765119611366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.6323311454248519,-0.6360781343882886,-0.6194198610472224,1.6360781343882886,0.15,False,False,True,True,True,False
isolated_layer_vjp,fixedpred,8,256,64,3,0,0,1.617414383972585,1.5654894527803906,1.643429810560283,1.6175221193150204,1.5656211593295841,1.6434365083815514,1.0,1.0,1.0,1.0,1.0,1.0,5.302896708600731,5.302896708600731,5.302896708600731,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.617414383972585,-0.6434298105602829,-0.5654894527803906,1.643429810560283,0.15,False,False,True,True,False,False
isolated_layer_vjp,fixedpred,8,256,256,3,0,0,1.6437725730426493,1.6234230757022283,1.6579335846150334,1.6440389111134268,1.6237588368824072,1.6584266721581122,0.999704259868418,0.999704259868418,0.999704259868418,1.0034818941504178,1.0006963788300836,1.0034818941504178,4.5455820579973,4.5455820579973,4.5455820579973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.6437725730426493,-0.6579335846150334,-0.6234230757022283,1.6579335846150334,0.15,False,False,True,True,True,False
