block_id,candidate_id,method,depth,width,batch_size,model_seed,device_time_ratio_to_baseline,host_time_ratio_to_baseline,peak_allocated_ratio_to_baseline,peak_reserved_ratio_to_baseline,saved_tensor_bytes_ratio_to_baseline,state_vjp_calls_ratio_to_baseline,graph_span_ratio_to_baseline,dependency_radius_ratio_to_baseline,device_time_reduction,device_speedup,peak_allocated_growth,peak_reserved_growth,candidate_observer_cost_ms,baseline_observer_cost_ms,fallback_validation_status
s3b-block-2038cde586d1edeab33e,isolated_layer_vjp,strict,4,256,256,72,1.283400436849496,1.283534495108309,0.46243371945673173,0.4836244541484716,1.1276879206413273,1.0,1.0,1.0,-0.283400436849496,0.7791800371011325,-0.5375662805432683,-0.5163755458515285,36.07468795776367,34.67823791503906,not_applicable_before_ex_if0
s3b-block-2038cde586d1edeab33e,composite_vjp,strict,4,256,256,72,1.129549272542745,1.1295305442265744,0.4628057499182398,0.48307860262008734,1.1276879206413273,0.3333333333333333,3.0,1.0,-0.12954927254274495,0.8853088787785993,-0.5371942500817601,-0.5169213973799127,14.602934837341309,34.67823791503906,not_applicable_before_ex_if0
s3b-block-248d76724a8cf4455766,isolated_layer_vjp,fixedpred,4,64,256,70,1.5452152255457932,1.5452839442416844,0.9987853997090467,1.0,4.320096816373466,1.0,1.0,1.0,-0.5452152255457932,0.6471590387331221,-0.0012146002909533271,0.0,23.236355781555176,21.76802635192871,not_applicable_before_ex_if0
s3b-block-248d76724a8cf4455766,composite_vjp,fixedpred,4,64,256,70,1.1892733679591263,1.189268625389986,1.0049264738501453,1.0090361445783131,4.320096816373466,0.25,4.0,1.0,-0.1892733679591263,0.8408495699488064,0.00492647385014533,0.009036144578313143,8.156221866607666,21.76802635192871,not_applicable_before_ex_if0
s3b-block-2aeb2e45735b91688bf1,isolated_layer_vjp,fixedpred,8,64,256,70,1.6360781343882886,1.6361230754467067,0.9989927596672555,1.0025062656641603,4.25765119611366,1.0,1.0,1.0,-0.6360781343882886,0.6112177523684642,-0.0010072403327444635,0.0025062656641603454,44.66458606719971,41.73083972930908,not_applicable_before_ex_if0
s3b-block-2aeb2e45735b91688bf1,composite_vjp,fixedpred,8,64,256,70,1.1678891023395213,1.1683349910533973,1.0022123767510156,1.0075187969924813,4.25765119611366,0.125,8.0,1.0,-0.16788910233952126,0.8562456812010618,0.002212376751015599,0.007518796992481258,9.110807418823242,41.73083972930908,not_applicable_before_ex_if0
s3b-block-2b2e9efa1f112a82e9a2,isolated_layer_vjp,fixedpred,32,256,64,71,1.6419784799981425,1.6421167963209913,1.0,0.9982430453879941,4.968458890784064,1.0,1.0,1.0,-0.6419784799981425,0.6090213801103722,0.0,-0.0017569546120058677,169.0194549560547,152.2091178894043,not_applicable_before_ex_if0
s3b-block-2b2e9efa1f112a82e9a2,composite_vjp,fixedpred,32,256,64,71,1.1053499116610161,1.1054947427138935,1.0,1.0002928257686676,4.968458890784064,0.03125,32.0,1.0,-0.10534991166101615,0.9046908942140266,0.0,0.0002928257686676261,14.482864379882812,152.2091178894043,not_applicable_before_ex_if0
s3b-block-2ba7a97fcdd9242b2b3b,isolated_layer_vjp,fixedpred,4,64,256,71,1.6143906710803613,1.6144363548312781,0.9987853997090467,1.0,4.320096816373466,1.0,1.0,1.0,-0.6143906710803613,0.6194287528500106,-0.0012146002909533271,0.0,23.08113145828247,21.463923454284668,not_applicable_before_ex_if0
s3b-block-2ba7a97fcdd9242b2b3b,composite_vjp,fixedpred,4,64,256,71,1.2315604168785304,1.231511724228134,1.0049264738501453,1.0090361445783131,4.320096816373466,0.25,4.0,1.0,-0.23156041687853035,0.8119780290881423,0.00492647385014533,0.009036144578313143,8.572389125823975,21.463923454284668,not_applicable_before_ex_if0
