dataset,model,method,model_seed,test_accuracy_original,test_macro_f1_original,total_training_time_sec_original,mean_epoch_time_sec_original,median_epoch_time_sec_original,peak_gpu_memory_allocated_bytes_original,peak_gpu_memory_reserved_bytes_original,runtime_over_bp_original,test_accuracy_patched,test_macro_f1_patched,total_training_time_sec_patched,mean_epoch_time_sec_patched,median_epoch_time_sec_patched,peak_gpu_memory_allocated_bytes_patched,peak_gpu_memory_reserved_bytes_patched,runtime_over_bp_patched,test_accuracy_difference,test_accuracy_ratio,test_macro_f1_difference,test_macro_f1_ratio,total_training_time_sec_difference,total_training_time_sec_ratio,mean_epoch_time_sec_difference,mean_epoch_time_sec_ratio,median_epoch_time_sec_difference,median_epoch_time_sec_ratio,peak_gpu_memory_allocated_bytes_difference,peak_gpu_memory_allocated_bytes_ratio,peak_gpu_memory_reserved_bytes_difference,peak_gpu_memory_reserved_bytes_ratio,runtime_over_bp_difference,runtime_over_bp_ratio
MNIST,lenet_classic,strict,2,0.9852,0.9850789395725054,125.96233441299773,12.596233441299773,11.777232967999225,156862464.0,188743680.0,5.014083942435708,0.9852,0.9850789395725054,94.72265821699693,9.472265821699693,8.647216901998036,156148736,167772160,3.6973796552197387,0.0,1.0,0.0,1.0,-31.2396761960008,0.7519919240812573,-3.12396761960008,0.7519919240812573,-3.1300160660011898,0.7342316251613614,-713728.0,0.9954499758463567,-20971520.0,0.8888888888888888,-1.3167042872159698,0.7373988344965062
MNIST,lenet_classic,fixedpred,2,0.9866,0.9865723906939363,67.9932289640019,6.79932289640019,5.951980243498838,160873472.0,174063616.0,2.706553186168781,0.9866,0.9865723906939363,47.2333471540187,4.7233347154018706,3.8995779260003474,163132416,195035136,1.8436942132169043,0.0,1.0,0.0,1.0,-20.7598818099832,0.6946772182127983,-2.075988180998319,0.6946772182127984,-2.0524023174984904,0.6551731972329268,2258944.0,1.0140417433148954,20971520.0,1.1204819277108433,-0.8628589729518765,0.6811963728031212
MNIST,lenet_classic,bp,3,0.9842,0.9841633316280894,25.50891868400504,2.550891868400504,1.7398501330008003,129994240.0,138412032.0,1.0,0.9842,0.9841633316280894,25.605053570012387,2.560505357001239,1.7442674140002055,129994240,138412032,1.0,0.0,1.0,0.0,1.0,0.09613488600734854,1.0037686774260497,0.009613488600734854,1.0037686774260497,0.004417280999405193,1.0025388859164477,0.0,1.0,0.0,1.0,0.0,1.0
MNIST,lenet_classic,exact,3,0.9842,0.9841633316280894,29.345428069002082,2.9345428069002084,2.108975143000862,164927488.0,186646528.0,1.1503987461217893,0.9842,0.9841633316280894,25.49218438299431,2.549218438299431,1.7269158224989951,133660160,140509184,0.9955919175599669,0.0,1.0,0.0,1.0,-3.8532436860077723,0.8686935601366129,-0.38532436860077723,0.8686935601366129,-0.38205932050186675,0.8188412406045553,-31267328.0,0.8104177273348152,-46137344.0,0.7528089887640449,-0.15480682856182237,0.8654320259964596
MNIST,lenet_classic,strict,3,0.9856,0.9855359363636061,126.85430252800143,12.685430252800142,11.896638110498316,156862464.0,188743680.0,4.972939233505942,0.9856,0.9855359363636061,94.21228557900758,9.421228557900758,8.59785614300199,156148736,167772160,3.6794410650772953,0.0,1.0,0.0,1.0,-32.64201694899384,0.7426810419631723,-3.264201694899384,0.7426810419631723,-3.298781967496325,0.7227130945014391,-713728.0,0.9954499758463567,-20971520.0,0.8888888888888888,-1.2934981684286466,0.7398926253283965
MNIST,lenet_classic,fixedpred,3,0.9858,0.9857326666662191,68.41456219699103,6.8414562196991024,6.017277083499721,160873472.0,174063616.0,2.6819859769238,0.9858,0.9857326666662191,47.084729542992136,4.708472954299213,3.865446396997868,163132416,195035136,1.8388842426846506,0.0,1.0,0.0,1.0,-21.329832653998892,0.6882267171047247,-2.132983265399889,0.6882267171047247,-2.151830686501853,0.6423912915025142,2258944.0,1.0140417433148954,20971520.0,1.1204819277108433,-0.8431017342391496,0.6856427507476474
MNIST,lenet_classic,exact,4,0.986,0.9859461202317823,30.028924300993822,3.002892430099382,2.174651935498332,164927488.0,186646528.0,1.1641597177657659,0.986,0.9859461202317823,25.01103449999937,2.501103449999937,1.682907823495043,133660160,140509184,0.9910945874446242,0.0,1.0,0.0,1.0,-5.017889800994453,0.8328981168057231,-0.5017889800994451,0.8328981168057231,-0.49174411200328905,0.7738745663265862,-31267328.0,0.8104177273348152,-46137344.0,0.7528089887640449,-0.17306513032114168,0.8513390150165262
MNIST,lenet_classic,fixedpred,4,0.9829,0.9827440807474968,68.36884222099616,6.8368842220996155,5.999476363500435,160873472.0,174063616.0,2.650519587920534,0.9829,0.9827440807474968,47.14103675599472,4.714103675599472,3.872602644998551,163132416,195035136,1.868024546341561,0.0,1.0,0.0,1.0,-21.22780546500144,0.6895105317655599,-2.1227805465001435,0.6895105317655599,-2.1268737185018836,0.6454901078631894,2258944.0,1.0140417433148954,20971520.0,1.1204819277108433,-0.7824950415789731,0.7047767369291997
MNIST,lenet_classic,bp,4,0.986,0.9859461202317823,25.794505549998576,2.5794505549998576,1.7542572350012051,129994240.0,138412032.0,1.0,0.986,0.9859461202317823,25.235769437997078,2.523576943799708,1.7130831880022015,129994240,138412032,1.0,0.0,1.0,0.0,1.0,-0.5587361120014975,0.9783389485439651,-0.055873611200149664,0.9783389485439651,-0.04117404699900362,0.9765290710065246,0.0,1.0,0.0,1.0,0.0,1.0
MNIST,lenet_classic,strict,4,0.9838,0.9836946386512369,126.9438946030059,12.69438946030059,11.869678608502,156862464.0,188743680.0,4.921354059566879,0.9838,0.9836946386512369,93.63455601401802,9.363455601401801,8.548191029498412,156148736,167772160,3.710390374427578,0.0,1.0,0.0,1.0,-33.309338588987885,0.7376058242646736,-3.3309338588987885,0.7376058242646736,-3.3214875790035876,0.720170386363749,-713728.0,0.9954499758463567,-20971520.0,0.8888888888888888,-1.2109636851393013,0.7539368900343097
