dataset,model,checkpoint_label,model_seed,method,layer,metric,value,n_observations,n_missing
FashionMNIST,lenet_classic,final,3,strict,1,relative_l2,0.99627644738545729,5,0
FashionMNIST,lenet_classic,final,3,strict,1,sign_agreement,0.86183774834437088,5,0
FashionMNIST,lenet_classic,final,3,strict,3,cosine,0.84170374201649789,5,0
FashionMNIST,lenet_classic,final,3,strict,3,norm_ratio,0.068553475088626054,5,0
FashionMNIST,lenet_classic,final,3,strict,3,relative_l2,0.94304718687597777,5,0
FashionMNIST,lenet_classic,final,3,strict,3,sign_agreement,0.82255610972568571,5,0
FashionMNIST,lenet_classic,final,3,strict,4,cosine,0.93758491097723373,5,0
FashionMNIST,lenet_classic,final,3,strict,4,norm_ratio,0.3187335920077462,5,0
FashionMNIST,lenet_classic,final,3,strict,4,relative_l2,0.70963753245312444,5,0
FashionMNIST,lenet_classic,final,3,strict,4,sign_agreement,0.87278630460448647,5,0
FashionMNIST,lenet_classic,final,3,strict,5,cosine,0.99999870431314586,5,0
FashionMNIST,lenet_classic,final,3,strict,5,norm_ratio,0.99844502001267565,5,0
FashionMNIST,lenet_classic,final,3,strict,5,relative_l2,0.0022534148507964802,5,0
FashionMNIST,lenet_classic,final,3,strict,5,sign_agreement,0.99929411764705878,5,0
FashionMNIST,lenet_classic,final,4,exact,0,cosine,1,5,0
FashionMNIST,lenet_classic,final,4,exact,0,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,4,exact,0,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,4,exact,0,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,4,exact,1,cosine,1,5,0
FashionMNIST,lenet_classic,final,4,exact,1,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,4,exact,1,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,4,exact,1,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,4,exact,3,cosine,0.99999999999998912,5,0
FashionMNIST,lenet_classic,final,4,exact,3,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,4,exact,3,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,4,exact,3,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,4,exact,4,cosine,0.99999999999999734,5,0
FashionMNIST,lenet_classic,final,4,exact,4,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,4,exact,4,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,4,exact,4,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,4,exact,5,cosine,1,5,0
FashionMNIST,lenet_classic,final,4,exact,5,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,4,exact,5,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,4,exact,5,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,4,fixedpred,0,cosine,0.99665622619165362,5,0
